YearTestDraft,Year,Country Name,Indicator Name,Value
5/8/2018,2018-05-8,AR,Deposits,6.00
5/8/2018,2018-05-8,UA,Deposits,2.00
5/8/2018,2018-05-8,BY,Deposits,1.00
5/8/2018,2018-05-8,RU,Deposits,9.00
5/8/2018,2018-05-8,GE,Deposits,1.00
5/8/2018,2018-05-8,US,Deposits,1.00
5/8/2018,2018-05-8,GB,Deposits,3.00
5/8/2018,2018-05-8,AU,ARPPU,37.89
5/8/2018,2018-05-8,MD,ARPPU,3.05
5/8/2018,2018-05-8,CH,ARPPU,146.18
5/8/2018,2018-05-8,EE,ARPPU,6.91
5/8/2018,2018-05-8,DE,ARPPU,9.10
5/8/2018,2018-05-8,OM,ARPPU,41.20
5/8/2018,2018-05-8,SG,ARPPU,19.01
5/8/2018,2018-05-8,MY,ARPPU,9.55
5/8/2018,2018-05-8,AR,ARPPU,72.62
5/8/2018,2018-05-8,UA,ARPPU,7.59
5/8/2018,2018-05-8,BY,ARPPU,11.69
5/8/2018,2018-05-8,RU,ARPPU,6.72
5/8/2018,2018-05-8,GE,ARPPU,190.08
5/8/2018,2018-05-8,US,ARPPU,16.73
5/8/2018,2018-05-8,GB,ARPPU,127.02
5/8/2018,2018-05-8,AU,Depositors,1.00
5/8/2018,2018-05-8,MD,Depositors,1.00
5/8/2018,2018-05-8,CH,Depositors,3.00
5/8/2018,2018-05-8,EE,Depositors,1.00
5/8/2018,2018-05-8,DE,Depositors,2.00
5/8/2018,2018-05-8,OM,Depositors,3.00
5/8/2018,2018-05-8,SG,Depositors,1.00
5/8/2018,2018-05-8,MY,Depositors,1.00
5/8/2018,2018-05-8,AR,Depositors,2.00
5/8/2018,2018-05-8,UA,Depositors,1.00
5/8/2018,2018-05-8,BY,Depositors,1.00
5/8/2018,2018-05-8,RU,Depositors,4.00
5/8/2018,2018-05-8,GE,Depositors,1.00
5/8/2018,2018-05-8,US,Depositors,1.00
5/8/2018,2018-05-8,GB,Depositors,1.00
5/9/2018,2018-05-9,AR,Revenue,55.65
5/9/2018,2018-05-9,US,Revenue,8.32
5/9/2018,2018-05-9,CH,Revenue,157.87
5/9/2018,2018-05-9,BG,Revenue,6.31
5/9/2018,2018-05-9,NZ,Revenue,7.51
5/9/2018,2018-05-9,DE,Revenue,68.24
5/9/2018,2018-05-9,IT,Revenue,6.75
5/9/2018,2018-05-9,RU,Revenue,25.60
5/9/2018,2018-05-9,AR,Deposits,2.00
5/9/2018,2018-05-9,US,Deposits,1.00
5/9/2018,2018-05-9,CH,Deposits,3.00
5/9/2018,2018-05-9,BG,Deposits,1.00
5/9/2018,2018-05-9,NZ,Deposits,1.00
5/9/2018,2018-05-9,DE,Deposits,6.00
5/9/2018,2018-05-9,IT,Deposits,1.00
5/9/2018,2018-05-9,RU,Deposits,11.00
5/9/2018,2018-05-9,AR,ARPPU,55.65
5/9/2018,2018-05-9,US,ARPPU,8.32
5/9/2018,2018-05-9,CH,ARPPU,52.62
5/9/2018,2018-05-9,BG,ARPPU,6.31
5/9/2018,2018-05-9,NZ,ARPPU,7.51
5/9/2018,2018-05-9,DE,ARPPU,22.75
5/9/2018,2018-05-9,IT,ARPPU,6.75
5/9/2018,2018-05-9,RU,ARPPU,4.27
5/9/2018,2018-05-9,AR,Depositors,1.00
5/9/2018,2018-05-9,US,Depositors,1.00
5/9/2018,2018-05-9,CH,Depositors,3.00
5/9/2018,2018-05-9,BG,Depositors,1.00
5/9/2018,2018-05-9,NZ,Depositors,1.00
5/9/2018,2018-05-9,DE,Depositors,3.00
5/9/2018,2018-05-9,IT,Depositors,1.00
5/9/2018,2018-05-9,RU,Depositors,6.00
5/10/2018,2018-05-10,HR,Revenue,7.56
5/10/2018,2018-05-10,OM,Revenue,9.50
5/10/2018,2018-05-10,RU,Revenue,51.93
5/10/2018,2018-05-10,CH,Revenue,215.83
5/10/2018,2018-05-10,IT,Revenue,6.74
5/10/2018,2018-05-10,GB,Revenue,63.39
5/10/2018,2018-05-10,AU,Revenue,75.17
5/10/2018,2018-05-10,TR,Revenue,15.99
5/10/2018,2018-05-10,UA,Revenue,22.69
5/10/2018,2018-05-10,ES,Revenue,7.48
5/10/2018,2018-05-10,IN,Revenue,9.50
5/10/2018,2018-05-10,AR,Revenue,51.42
5/10/2018,2018-05-10,LV,Revenue,2.49
5/10/2018,2018-05-10,HR,Deposits,1.00
5/10/2018,2018-05-10,OM,Deposits,1.00
5/10/2018,2018-05-10,RU,Deposits,9.00
5/10/2018,2018-05-10,CH,Deposits,7.00
5/10/2018,2018-05-10,IT,Deposits,1.00
5/10/2018,2018-05-10,GB,Deposits,2.00
5/10/2018,2018-05-10,AU,Deposits,2.00
5/10/2018,2018-05-10,TR,Deposits,1.00
5/10/2018,2018-05-10,UA,Deposits,2.00
5/10/2018,2018-05-10,ES,Deposits,1.00
5/10/2018,2018-05-10,IN,Deposits,1.00
5/10/2018,2018-05-10,AR,Deposits,3.00
5/10/2018,2018-05-10,LV,Deposits,1.00
5/10/2018,2018-05-10,HR,ARPPU,7.56
5/10/2018,2018-05-10,OM,ARPPU,9.50
5/10/2018,2018-05-10,RU,ARPPU,8.66
5/10/2018,2018-05-10,CH,ARPPU,43.17
5/10/2018,2018-05-10,IT,ARPPU,6.74
5/10/2018,2018-05-10,GB,ARPPU,63.39
5/10/2018,2018-05-10,AU,ARPPU,37.59
5/10/2018,2018-05-10,TR,ARPPU,15.99
5/10/2018,2018-05-10,UA,ARPPU,22.69
5/10/2018,2018-05-10,ES,ARPPU,7.48
5/10/2018,2018-05-10,IN,ARPPU,9.50
5/10/2018,2018-05-10,AR,ARPPU,17.14
5/10/2018,2018-05-10,LV,ARPPU,2.49
5/10/2018,2018-05-10,HR,Depositors,1.00
5/10/2018,2018-05-10,OM,Depositors,1.00
5/10/2018,2018-05-10,RU,Depositors,6.00
5/10/2018,2018-05-10,CH,Depositors,5.00
5/10/2018,2018-05-10,IT,Depositors,1.00
